Agent,State,A0,A1
cluster_1016191702_1016195035,001000,-95.46003648070302,-8.789020833333334
cluster_1016191702_1016195035,011010,-99.02560300812068,-75.75
cluster_1016191702_1016195035,011100,-238.8018017238801,-116.0
cluster_1016191702_1016195035,001100,-52.55738784123744,0.0
cluster_1016191801_1016199119,00000,-6633.690706437533,-6628.631673166232
cluster_1016191801_1016199119,00010,-5028.459354935896,-3860.980370674214
cluster_1016191801_1016199119,01000,-137.3744043863464,-27.25
cluster_1016191801_1016199119,10000,-606.391454948585,-235.44737198311674
cluster_1016191801_1016199119,00020,-5203.356727189607,-3048.2885739804674
cluster_1016191801_1016199119,00021,-8208.58573111806,-2790.4477532531255
cluster_1016191801_1016199119,00011,-403.86600194779055,-16.0
cluster_1016191801_1016199119,11000,-195.39519848899013,-30.0
cluster_1016191801_1016199119,00001,-314.2051584502601,-35.25
